player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
anis-hadj-moussa,Anis Hadj Moussa,COMPRA ORA,17.8,"sconto 26% | trend sconosciuto | partita tra 9.8gg, fuori finestra",https://sorare.com/it/football/players/anis-hadj-moussa,eredivisie,classic,0.308,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),37.9,48.0,57.0,57.0,3.0,4.07,15/17,26.43,,,4.07,2026-08-09T10:15:00Z,234.4,05/08 22:15-06/08 22:15 UTC,2026-07-30T15:51:07+00:00,classic
robert-lewandowski,Robert Lewandowski,COMPRA ORA,16.6,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/robert-lewandowski,mlspa,classic,0.566,Chicago Fire FC,Charlotte FC (casa),34.8,42.0,46.0,49.0,4.16,5.98,17/19,30.41,down,4.35,6.33,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:41+00:00,classic
daniel-de-sousa-brito,Daniel,COMPRA ORA,16.2,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/daniel-de-sousa-brito,mlspa,in season,0.5802,FC Dallas,LA Galaxy (trasferta),47.2,41.0,39.0,45.0,2.8,4.0,16/18,29.98,down,2.84,4.08,2026-08-02T02:30:00Z,58.7,finestra gia' passata,2026-07-30T15:50:21+00:00,in_season
paxten-aaronson,Paxten Aaronson,COMPRA ORA,16.1,"sconto 30% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/paxten-aaronson,mlspa,in season,0.5822,Colorado Rapids,Austin FC (casa),38.4,61.0,52.0,54.0,4.2,5.98,29/31,29.74,down,5.08,6.28,2026-08-02T01:30:00Z,57.7,finestra gia' passata,2026-07-30T15:50:36+00:00,in_season
preston-judd,Preston Judd,COMPRA ORA,16.0,"sconto 30% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/preston-judd,mlspa,in season,0.5209,San Jose Earthquakes,FC Cincinnati (trasferta),0.0,51.0,59.0,51.0,3.99,5.67,15/17,29.66,down,3.82,6.26,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:12+00:00,in_season
yannick-bright,Yannick Bright,COMPRA ORA,15.4,"sconto 29% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/yannick-bright,mlspa,in season,0.5829,Inter Miami CF,Columbus Crew (casa),42.5,55.0,55.0,47.0,3.16,4.45,14/16,28.88,down,3.18,4.72,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:31+00:00,in_season
juan-fernandez-blanco,Juan Ibiza,COMPRA ORA,14.5,sconto 22% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5539,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.45,4.42,13/15,22.01,down,2.32,4.5,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:49+00:00,in_season
seo-jae-min,Seo Jae-Min,COMPRA ORA,11.5,sconto 19% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5933,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,4.99,6.18,14/16,19.2,down,5.32,6.46,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:51+00:00,in_season
seung-won-jung,Jeong Seung-Won,COMPRA ORA,10.9,"sconto 28% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.2721,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,5.32,7.35,23/25,27.7,down,5.26,7.8,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:58+00:00,in_season
zavier-gozo,Zavier Gozo,buona occasione,14.4,"sconto 28% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/zavier-gozo,mlspa,in season,0.5742,Real Salt Lake,St. Louis City SC (trasferta),35.5,59.0,58.0,57.0,8.99,12.4,25/27,27.52,down,9.44,13.58,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:20+00:00,in_season
nouhou-tolo,Nouhou Tolo,buona occasione,13.8,"sconto 27% | trend in calo | partita tra 2.5gg, fuori finestra",https://sorare.com/it/football/players/nouhou-tolo,mlspa,in season,0.5783,Seattle Sounders FC,Portland Timbers (trasferta),41.12,57.0,56.0,52.0,4.99,6.82,31/33,26.76,down,5.0,7.11,2026-08-02T02:45:00Z,58.9,finestra gia' passata,2026-07-30T15:50:25+00:00,in_season
jack-mcglynn,Jack McGlynn,buona occasione,12.3,"sconto 25% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/jack-mcglynn,mlspa,in season,0.5653,Houston Dynamo FC,Sporting Kansas City  (trasferta),32.6,59.0,60.0,64.0,18.0,23.89,20/22,24.65,down,18.91,25.54,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:29+00:00,in_season
jesus-ferreira,Jesús Ferreira,buona occasione,11.8,"sconto 24% | trend in calo | partita tra 2.5gg, fuori finestra",https://sorare.com/it/football/players/jesus-ferreira,mlspa,in season,0.5668,Seattle Sounders FC,Portland Timbers (trasferta),40.3,47.0,59.0,53.0,3.78,4.97,18/20,23.97,down,4.02,5.03,2026-08-02T02:45:00Z,58.9,finestra gia' passata,2026-07-30T15:50:23+00:00,in_season
jack-mcglynn,Jack McGlynn,buona occasione,11.7,"sconto 24% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/jack-mcglynn,mlspa,classic,0.5634,Houston Dynamo FC,Sporting Kansas City  (trasferta),32.6,59.0,60.0,64.0,3.31,4.35,29/31,23.83,down,3.76,4.57,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:29+00:00,classic
hany-mukhtar,Hany Mukhtar,buona occasione,10.7,"sconto 23% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/hany-mukhtar,mlspa,in season,0.5547,Nashville SC,DC United (trasferta),34.2,55.0,46.0,54.0,9.95,12.85,15/17,22.55,down,9.32,13.38,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:34+00:00,in_season
mathieu-choiniere,Mathieu Choinière,buona occasione,10.0,"sconto 18% | trend sconosciuto | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/mathieu-choiniere,mlspa,in season,0.6416,Los Angeles FC,Vancouver Whitecaps FC (trasferta),83.5,68.0,57.0,52.0,2.92,3.58,18/20,18.43,,,3.58,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:17+00:00,in_season
dae-won-kim,Kim Dae-Won,buona occasione,9.9,"sconto 26% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.2932,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,9.0,12.13,21/23,25.81,down,10.43,13.64,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,in_season
kim-gun-hee,Kim Geon-Hui,buona occasione,9.7,sconto 17% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.6001,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,6.58,7.96,21/23,17.38,down,6.79,8.35,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:52+00:00,in_season
ivan-dario-angulo-cortes,Iván Angulo,buona occasione,8.5,"sconto 17% | trend sconosciuto | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/ivan-dario-angulo-cortes,mlspa,in season,0.5809,Orlando City SC,New York Red Bulls (trasferta),49.0,61.0,55.0,51.0,3.5,4.21,14/16,16.86,,,4.21,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:56+00:00,in_season
joon-hyuck-kang,Kang Joon-Hyuck,buona occasione,7.9,"sconto 22% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.2261,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,8.17,10.51,20/22,22.32,down,8.92,11.25,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,in_season
heung-min-son,Heung-min Son,buona occasione,7.8,"sconto 19% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/heung-min-son,mlspa,in season,0.6082,Los Angeles FC,Vancouver Whitecaps FC (trasferta),70.8,61.0,57.0,60.0,23.0,28.27,29/31,18.64,down,24.84,28.52,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:20+00:00,in_season
chang-geun-lee,Lee Chang-Geun,buona occasione,7.7,sconto 16% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.525,Daejeon Citizen FC,Gwangju FC (casa),27.1,49.0,49.0,49.0,3.5,4.14,17/19,15.54,down,3.67,4.29,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:46+00:00,in_season
hugo-lloris,Hugo Lloris,buona occasione,7.1,"sconto 18% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/hugo-lloris,mlspa,in season,0.5927,Los Angeles FC,Vancouver Whitecaps FC (trasferta),66.0,59.0,46.0,51.0,17.98,21.83,28/30,17.66,down,14.63,23.19,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:17+00:00,in_season
manuel-garcia-alonso,Manu García,buona occasione,6.5,"sconto 17% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/manuel-garcia-alonso,mlspa,in season,0.5491,Sporting Kansas City ,Houston Dynamo FC (casa),35.5,63.0,53.0,51.0,3.0,3.61,17/19,16.83,down,3.01,3.75,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:47+00:00,in_season
dusan-tadic,Dušan Tadić,buona occasione,6.5,"sconto 11% | trend in salita | partita tra 5.1gg, fuori finestra",https://sorare.com/it/football/players/dusan-tadic,eredivisie,classic,0.3037,N.E.C. Nijmegen,Olympiakos CFP (trasferta),51.3,59.0,61.0,61.0,2.75,3.08,68/70,10.68,up,3.3,3.04,2026-08-04T18:00:00Z,122.1,01/08 06:00-02/08 06:00 UTC,2026-07-30T15:51:19+00:00,classic
morgan-ferrier,Morgan Ferrier,buona occasione,6.1,sconto 13% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/morgan-ferrier,k-league-1,in season,0.5918,Incheon United FC,Jeju SK FC (trasferta),75.9,53.0,52.0,52.0,2.66,3.06,14/16,13.09,down,2.91,3.12,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:49+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,6.0,"sconto 19% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,in season,0.1714,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,5.5,6.77,15/17,18.79,down,6.07,6.97,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,in_season
marco-reus,Marco Reus,buona occasione,5.8,"sconto 16% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/marco-reus,mlspa,in season,0.6015,LA Galaxy,FC Dallas (casa),74.5,54.0,54.0,56.0,4.13,4.91,26/28,15.86,down,4.18,5.03,2026-08-02T02:30:00Z,58.7,finestra gia' passata,2026-07-30T15:50:33+00:00,in_season
anthony-markanich,Anthony Markanich,buona occasione,5.7,"sconto 16% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/anthony-markanich,mlspa,in season,0.556,Minnesota United,San Diego FC (casa),48.58,42.0,54.0,51.0,3.66,4.34,13/15,15.72,down,3.82,4.39,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:28+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,buona occasione,5.6,sconto 9% | trend stabile | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.613,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,10.2,11.18,27/29,8.73,flat,11.25,11.16,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:59+00:00,in_season
milan-iloski,Milan Iloski,buona occasione,5.2,"sconto 15% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/milan-iloski,mlspa,classic,0.613,Philadelphia Union,Atlanta United (casa),73.1,77.0,63.0,58.0,3.5,4.12,31/33,15.08,down,3.94,4.19,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:05+00:00,classic
alonso-coello-camarero,Alonso Coello,buona occasione,5.2,"sconto 17% | trend in calo | partita tra 32h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,in season,0.2238,Toronto FC,New York City FC (trasferta),55.4,63.0,62.0,56.0,5.33,6.44,27/29,17.34,down,4.51,6.52,2026-07-31T23:30:00Z,31.7,finestra gia' passata,2026-07-30T15:49:59+00:00,in_season
kerwin-calderon-vargas,Kerwin Vargas,buona occasione,5.1,"sconto 15% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/kerwin-calderon-vargas,mlspa,in season,0.6211,Charlotte FC,Chicago Fire FC (trasferta),82.8,68.0,60.0,54.0,3.65,4.29,34/36,14.97,down,3.84,4.4,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:53+00:00,in_season
onni-valakari,Onni Valakari,buona occasione,5.1,"sconto 12% | trend sconosciuto | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/onni-valakari,mlspa,in season,0.5933,San Diego FC,Minnesota United (trasferta),66.4,61.0,57.0,53.0,3.0,3.41,18/20,11.94,,,3.41,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:50:39+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,5.1,"sconto 15% | trend sconosciuto | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,classic,0.1735,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,3.16,3.72,17/19,15.06,,,3.72,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,classic
philip-zinckernagel,Philip Zinckernagel,buona occasione,4.6,"sconto 14% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/philip-zinckernagel,mlspa,classic,0.5662,Chicago Fire FC,Charlotte FC (casa),44.4,67.0,72.0,66.0,6.95,8.06,14/16,13.75,down,6.76,8.27,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:41+00:00,classic
brian-schwake,Brian Schwake,buona occasione,4.6,"sconto 10% | trend stabile | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/brian-schwake,mlspa,in season,0.5629,Nashville SC,DC United (trasferta),45.6,61.0,61.0,58.0,37.78,41.86,16/18,9.75,flat,40.1,41.98,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:49:33+00:00,in_season
heung-min-son,Heung-min Son,buona occasione,4.5,"sconto 13% | trend in calo | partita tra 2.3gg, fuori finestra",https://sorare.com/it/football/players/heung-min-son,mlspa,classic,0.5961,Los Angeles FC,Vancouver Whitecaps FC (trasferta),70.8,61.0,57.0,60.0,8.32,9.6,20/22,13.33,down,7.93,10.16,2026-08-01T23:30:00Z,55.7,finestra gia' passata,2026-07-30T15:50:20+00:00,classic
philip-zinckernagel,Philip Zinckernagel,buona occasione,4.5,"sconto 13% | trend in calo | partita tra 2.4gg, fuori finestra",https://sorare.com/it/football/players/philip-zinckernagel,mlspa,in season,0.5652,Chicago Fire FC,Charlotte FC (casa),44.4,67.0,72.0,66.0,22.5,25.96,19/21,13.32,down,21.55,26.71,2026-08-02T00:30:00Z,56.7,finestra gia' passata,2026-07-30T15:49:41+00:00,in_season
